MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
0,0,0,0.5268,0,0.0513,0,72.1621,0.0333,0,0.0518,0.3409,0.0061,0.0043,0,0,0,0.004,0.0022,0.0035,0,0,0,0,0,0,0,limestone
2.582,0.351,0.7216,0.3574,0,0.0653,0,57.913,0.0381,0,0.1757,0.5807,0.0056,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,marble
2.1551,0.4857,8.5853,0.2015,0.0483,0.0381,0,38.0832,0.0236,0,0.1291,0.5288,0,0.0019,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,marble
0,1.5974,9.0314,0.3268,0.0921,0,0.4016,46.4836,0.2345,0,0.3474,1.5787,0.0038,0.0025,0.1056,0,0.0119,0.0093,0,0.002,0,0,0,0,0,0,0.0121,altered limestone
2.6753,2.2859,15.9716,0.3712,0.0732,0,0.6513,45.4336,0.2239,0,0.4343,2.4893,0,0.0077,0.0764,0,0.0123,0.0057,0,0.0034,0,0.0609,0,0,0,0,0.0381,altered limestone
1.9405,1.5686,1.4687,0.3986,0,0.0455,0.2368,65.7259,0.1853,0,0.039,0.3932,0.0057,0.0025,0,0.0028,0,0.0058,0,0.0029,0,0,0,0,0,0,0,limestone
1.9451,0.1858,0,0.582,0,0.0542,0,71.9544,0.0237,0,0.0581,0.5276,0.005,0,0,0,0,0.0044,0,0.0042,0,0,0,0,0,0,0,limestone
0,1.1431,9.0896,0.4734,0,0.0678,0.2406,60.6044,0.1015,0,0.0461,0.5023,0.0036,0,0,0.0367,0.0089,0.008,0,0.0055,0,0,0,0,0,0,0.0077,limestone
0,0,0,0.4833,0,0.0312,0,60.3493,0.0655,0,0.0276,0.2783,0.0053,0,0,0,0,0.0106,0,0.0026,0,0,0,0,0,0,0,limestone
0,3.3362,8.1614,0.3219,0.0571,0,0.7979,50.8018,0.4203,0.0085,0.0411,1.2702,0.007,0.0034,0.0067,0.0132,0.0168,0.0126,0.0014,0.0075,0,0,0,0,0,0,0.0033,limestone
2.0111,0,0,0.4627,0,0.0671,0,62.6952,0.0503,0.0085,0.0411,0.4788,0.0044,0.002,0,0,0,0.01,0,0.0031,0,0,0,0,0,0,0,limestone
0,0.4333,0,0.5282,0,0.0394,0,70.774,0.0378,0,0.0379,0.361,0.0049,0,0,0,0,0.0052,0,0.0039,0,0,0,0,0,0,0,marble
0,0,0,0.5346,0,0.0584,0,68.7564,0.0492,0,0.0391,0.1668,0.0055,0,0,0,0,0.005,0,0.0026,0.0043,0.019,0,0,0,0,0.0018,marble
2.0715,0,0,0.4815,0,0.0465,0,65.6393,0.0239,0,0.0226,0.1844,0.0042,0,0,0,0,0.007,0,0.0019,0,0,0,0,0,0,0,limestone
0,0.1822,0,0.5343,0,0.1001,0,65.9782,0.1042,0,0.019,0.3008,0.0041,0,0,0,0.0044,0.0048,0,0.0035,0,0,0,0,0,0,0,limestone
0,0,0,0.4631,0,0.0502,0,70.8376,0.0357,0,0.0179,0.3749,0.0052,0,0,0,0,0.0055,0,0.0034,0,0,0,0,0,0,0,limestone
0,0.1593,0,0.4828,0,0.0559,0,71.1975,0.0288,0,0.0378,0.2342,0.0071,0,0,0,0,0.0043,0,0.0042,0,0,0,0,0,0,0,marble
0,1.4141,0,0.5525,0,0.051,0.5218,68.6936,0.1953,0,0.0422,0.5345,0.0063,0.002,0,0,0.0101,0.006,0,0.0049,0,0,0,0,0,0,0,marble
0,0,0,0.4982,0,0.0434,0,73.3607,0,0,0.0352,0.1894,0.0066,0.0022,0,0,0,0.0037,0,0.0037,0,0,0,0,0,0,0,marble
0,0,0,0.4515,0,0.0605,0,72.7085,0,0,0.0373,0.1841,0.0061,0.0034,0,0,0,0.003,0,0.0036,0,0,0,0,0,0,0,marble
1.9204,0,0,0.5248,0,0,0,67.4189,0.0265,0.0172,0.0295,0.2032,0.0057,0,0,0,0,0.0048,0,0.0016,0,0,0,0,0,0,0,marble
0,0,0,0.4988,0,0.0824,0,72.1733,0,0,0.0246,0.1812,0.0047,0,0,0,0,0.0037,0,0.0029,0,0.0211,0,0,0,0,0,marble
2.6435,0,0,0.3623,0,0.0363,0,59.4529,0.0467,0,0.0815,0.5955,0.0051,0.004,0,0,0,0.0188,0.0014,0.0033,0,0,0,0,0,0,0,limestone
4.8989,0.3777,0,0.3677,0,0,0.2413,65.5339,0.0952,0,0.1262,1.0483,0.0051,0,0,0,0.0048,0.013,0,0.0063,0,0,0,0,0,0,0,limestone
3.1798,0,0,0.5777,0,0.0864,0,70.0366,0.0936,0,0.1883,0.8173,0.0064,0.0077,0,0,0,0.0106,0.0015,0.0085,0.0038,0,0,0,0,0,0,limestone
2.6368,0.4905,0,0.7188,0,0.0582,0.044,70.1722,0.142,0,0.1869,1.2766,0.0056,0.1084,0,0,0,0.0097,0,0.0079,0,0,0,0,0,0,0,limestone
4.8947,0,0,0.5262,0,0.0631,0,69.6591,0.066,0,0.2063,0.7789,0.0055,0,0,0,0,0.0093,0,0.0076,0,0,0,0,0,0,0,limestone
2.6597,0.2316,0,0.6007,0,0.0528,0,68.1813,0.0869,0.0097,0.1369,0.7504,0.0057,0.0387,0,0,0,0.0096,0,0.0063,0,0,0,0,0,0,0,limestone
5.62,0,0,0.4247,0,0.0439,0,66.4192,0.1725,0.011,0.2134,2.489,0.0054,0,0,0,0,0.0101,0.0025,0.0083,0,0,0.0291,0,0,0,0,limestone
0,0,0,0.7784,0,0,0,69.6721,0.1302,0,0.2593,1.2214,0.0067,0,0,0,0.0041,0.0077,0.0017,0.0064,0,0,0,0,0,0,0,limestone
5.6757,0.2995,0,0.7373,0,0.1033,0,66.6423,0.1146,0,0.2142,2.4896,0.0078,0,0,0,0,0.0106,0,0.0074,0,0,0,0,0,0,0.0021,limestone
2.9891,0,0,0.5372,0,0,0.106,69.0596,0.122,0,0.2192,0.9053,0.0068,0,0,0,0.0033,0.0115,0,0.0088,0,0,0,0,0,0,0,limestone
5.9715,0.3764,0,0.4177,0,0.0661,0.1229,65.5212,0.0986,0.0126,0.28,1.5894,0.0071,0.0034,0,0,0.0032,0.0138,0.0014,0.0072,0,0,0,0,0,0,0,limestone
2.5796,0,0,0.4201,0,0.0467,0.0193,67.2474,0.193,0,0.2067,0.9899,0.0056,0,0,0,0,0.0139,0.002,0.01,0,0,0,0,0,0,0,limestone
8.604,0.243,2.458,0.3709,0,0,0.0263,58.0987,0.062,0,0.3556,6.0677,0.007,0.0103,0,0.1491,0,0.0187,0,0.0054,0,0,0,0,0,0,0,limestone
4.627,0.288,0,0.3748,0,0.0463,0,62.7327,0.1506,0,0.1938,1.4559,0.0037,0,0,0.0163,0,0.0155,0,0.0072,0,0,0,0,0,0,0,limestone
3.5833,0.618,0,0.4137,0,0.0903,0.4443,66.3431,0.2487,0.0123,0.1288,1.8342,0.0067,0,0,0,0.0056,0.0121,0,0.007,0,0,0,0,0,0,0,limestone
2.8956,0,0,0.5269,0,0.0719,0,70.0742,0.0914,0,0.1461,1.1381,0.0062,0,0,0,0,0.0103,0.0019,0.0084,0,0.0245,0,0,0,0,0,limestone
3.7831,0.2321,0,0.559,0,0.0806,0.0876,68.433,0.068,0.0119,0.1424,1.2607,0.0069,0,0,0,0,0.0104,0,0.0064,0,0,0,0,0,0,0,limestone
5.1498,0,0,0.3766,0,0,0,64.588,0.0493,0.0098,0.1489,2.9526,0.0066,0.003,0,0,0.0036,0.0138,0.0019,0.0061,0,0,0,0,0,0,0,limestone
3.7687,0,0,0.4082,0,0.0327,0,63.9312,0.137,0,0.1283,1.458,0.0041,0,0,0,0,0.0151,0,0.0055,0,0,0,0,0,0,0,limestone
3.9836,0,0,0.4208,0,0.1405,0,68.9763,0.0527,0,0.1547,1.4199,0.0045,0,0,0.0017,0,0.0107,0,0.0071,0,0,0,0,0,0,0,limestone
0,0,0,0.5314,0,0.0731,0.0601,71.2087,0.0606,0,0.1507,1.2164,0.0053,0.0023,0,0,0,0.0088,0.0016,0.0082,0,0,0,0,0,0,0,limestone
3.5998,0.359,0,0.4098,0,0,0.1908,68.1282,0.1096,0,0.1477,1.8984,0.0042,0.0022,0,0,0.0043,0.0113,0,0.0078,0,0,0,0,0,0,0,limestone
3.0202,0.6557,0,0.4253,0,0,0.3237,66.7591,0.4104,0.0156,0.1355,2.4936,0.0063,0,0,0.0018,0.005,0.0118,0,0.0096,0,0,0,0,0,0,0,limestone
3.537,0.2814,0,0.4715,0,0.048,0.0447,64.9477,0.067,0,0.1202,3.5558,0.0051,0.0023,0,0,0.0033,0.0146,0,0.0071,0,0,0,0,0,0,0,limestone
2.1395,0,0,0.4938,0,0.168,0,72.9533,0,0.0207,0.0362,0.1653,0.0066,0,0,0,0,0.0035,0,0.0039,0,0.0225,0,0,0,0,0,marble
0,0,0,0.5355,0,0.1534,0,71.9543,0.0451,0.0127,0.0547,0.3588,0.004,0,0.0347,0,0,0.005,0,0.0051,0,0,0.0238,0,0,0,0,marble
0,0,0,0.6052,0,0.1516,0,71.9162,0,0.0093,0.0268,0.2031,0.0077,0,0,0,0,0.0042,0,0.0032,0,0,0,0,0,0,0,marble
2.1377,0,0,0.3762,0,0.0635,0,69.8355,0.0307,0,0.0223,0.1856,0.0063,0,0,0,0,0.0054,0,0.0026,0,0,0,0,0,0,0,marble
1.9111,0,0,0.465,0,0.1468,0,69.6811,0,0,0.0143,0.1604,0.0056,0,0,0,0,0.0061,0,0.0041,0,0,0,0,0,0,0,marble
0,0,0,0.7038,0,0.2767,0,70.3739,0,0,0.0293,0.198,0.0049,0,0,0,0,0.0063,0,0.004,0,0,0,0,0,0,0,marble
0,0,0,0.4765,0,0.0471,0,72.2584,0.0417,0,0.0401,0.1672,0.006,0.0027,0,0,0,0.0056,0,0.0042,0,0,0,0,0,0,0,limestone
1.9098,0,0,0.5167,0,0.0303,0,74.6345,0.0336,0,0.042,0.2354,0.0082,0,0,0,0,0.0037,0,0.0052,0,0,0,0,0,0,0,limestone
0,0,0,0.5754,0,0.0981,0,70.5133,0,0.071,0.0271,0.2362,0.0059,0,0,0,0,0.0062,0,0.0043,0,0,0,0,0,0,0,altered limestone
2.1263,0,0,0.4695,0,0.0646,0,71.2165,0.0511,0.017,0.0264,0.255,0.0055,0,0,0,0,0.0059,0,0.0041,0,0,0,0,0,0,0,altered limestone
4.539865174,27.24071149,42.05556854,0.557814053,0.085715209,0.085620181,2.021814616,20.15162659,0.817335378,0.008932627,0.045708443,2.097646918,0.002850838,0,0.19908355,0.00047514,0.006366872,0.006746984,0,0.014539276,0,0,0,0.06157811,0,0,0,altered limestone
0,1.5698,1.5927,0.4031,0,0,0.5107,66.0675,0.1221,0,0.0284,0.7286,0.0059,0.004,0,0,0.0084,0.0074,0.0014,0.0044,0.0034,0.0203,0,0,0,0,0,altered limestone
4.508895042,18.32812778,38.70162801,0.378874755,0.053548419,0.089870785,0.418445462,34.40869847,1.290969709,0.01092624,0.028053859,1.752923261,0,0,0,0.002559299,0.002067126,0.004527991,0,0.019883788,0,0,0,0,0,0,0,altered limestone
0,10.6188,31.9876,0.2643,0.0277,0.1283,0.4226,36.8924,0.8983,0.007,0.1394,3.5148,0,0,0.0034,0.0012,0.0051,0.0031,0.0018,0.012,0,0,0,0,0,0,0,altered limestone
0,2.7254,9.1569,0.4607,0,0,0.0406,61.418,0.3189,0,0.0511,2.1631,0.0045,0.0024,0,0,0,0.0062,0.0027,0.0064,0,0,0,0,0,0,0,altered limestone
6.5471,9.8203,22.1989,0.1873,0.0362,0,0.859,40.9903,0.8993,0.0141,0.0193,2.0765,0.005,0.0059,0,0.0017,0.0089,0.0125,0.0012,0.018,0,0,0,0,0,0,0,marble
1.7351,5.5609,15.7703,0.1989,0.0737,0,1.4264,37.922,0.5044,0.0088,0.012,1.5177,0.0041,0.0084,0,0.0023,0.0194,0.0227,0.0018,0.0104,0,0,0,0,0,0,0,marble
0,0.5084,0,0.5584,0,0.1951,0,70.8194,0.1187,0.0179,0.0414,0.2211,0.0064,0,0,0,0,0.0055,0,0.0037,0,0,0,0,0,0,0,marble
3.1535,0.1918,0,0.5594,0,0,0,72.8194,0.0346,0.019,0.0532,0.3021,0.0069,0.0024,0,0,0,0.0035,0,0.0043,0,0.0258,0,0,0,0,0,marble
2.1395,0,0,0.3792,0.0479,0.0239,0,43.1082,0.0495,0,0.0175,0.1248,0.0036,0,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,marble
0,0,0,0.3903,0,0.0629,0,71.1952,0.0263,0.0109,0.0327,0.1878,0.0054,0,0,0,0,0.0054,0,0.0038,0,0,0,0,0,0,0,marble
0,0,0,0.5983,0,0,0,72.4026,0.0238,0.0231,0.0149,0.1312,0.0049,0,0,0,0,0.0042,0,0.0033,0,0,0,0,0,0,0,marble
0,0,0,0.4591,0,0,0,73.8636,0.0265,0,0.0135,0.1496,0.0067,0,0,0,0,0.0034,0,0.0045,0.0036,0,0,0,0,0,0,marble
0,0,0,0.5637,0,0,0,73.6262,0.8911,0,0.0155,0.1237,0.0071,0.0024,0.0316,0,0,0.004,0,0.0048,0,0,0,0,0,0,0,marble
0,0,0,0.4698,0,0.1095,0,63.1205,0.0327,0.0167,0.0128,0.1769,0.0029,0.0021,0,0,0,0.0083,0,0.0015,0,0,0,0,0,0,0,marble
0,0,0,0.5431,0,0.0455,0,73.1705,0.0199,0.0163,0.0144,0.1426,0.0062,0,0,0,0,0.0034,0,0.0038,0,0,0,0,0,0,0,marble
0,0,0,0.5889,0,0.054,0,71.3729,0.0161,0,0.0146,0.1059,0.0066,0,0,0,0,0.0044,0,0.0032,0,0.023,0,0,0,0,0,marble
2.9728,0,0,0.3947,0.0516,0.0416,0,44.8863,0.02,0,0,0.0748,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0,0,marble
0,0,0,0.3951,0.0023,0.05,0,57.0938,0.0178,0.0159,0,0.0859,0.0039,0.0023,0,0,0,0.0081,0,0,0,0,0,0,0,0,0,marble
0,0,0,0.5588,0,0,0,72.8439,0,0.0234,0.0168,0.1345,0.0036,0,0,0,0,0.0034,0,0.0034,0,0,0,0,0,0,0,marble
0,0,0,0.5062,0,0.0514,0,72.8729,0,0,0.0178,0.1227,0.0057,0,0,0,0,0.0038,0,0.0038,0,0,0,0,0,0,0,marble
2.3007,0,0,0.4881,0,0.0582,0,73.3893,0.0395,0.0103,0.0251,0.1135,0.0061,0,0,0,0,0.0033,0,0.004,0,0,0,0,0,0,0,marble
0,0,0,0.5146,0,0.0368,0,72.4321,0.0716,0,0,0.1261,0.0063,0,0,0,0,0.0039,0,0.0046,0,0,0,0,0,0,0,marble
0,0,0,0.4791,0,0.0888,0,69.2834,0,0,0,0.1136,0.0046,0.0021,0,0,0,0.0059,0,0.0032,0,0,0,0,0,0,0,marble
2.0404,0,0,0.4823,0,0.1023,0,70.4926,0.0216,0,0,0.1169,0.0061,0,0,0,0,0.0056,0,0.0034,0,0,0,0,0,0,0,marble
0,0,0,0.4899,0,0.0561,0,72.8755,0.1003,0,0.029,0.1884,0.005,0.0021,0,0,0,0.0044,0,0.0042,0,0.021,0,0,0,0,0,marble
0,0,0,0.5505,0,0,0,65.766,0.0228,0,0.023,0.1637,0.0047,0.0029,0,0,0,0.0076,0,0.003,0,0,0,0,0,0,0,marble
7.144841883,21.12220331,43.40037402,0.27914323,0.021113977,0.054201681,0.402353797,23.55140751,0.999851928,0.01133391,0.064530164,2.922137868,0.003747502,0,0,0.000822622,0.001553842,0.004844332,0,0.015538425,0,0,0,0,0,0,0,altered limestone
4.0772,10.7229,29.5437,0.4214,0.0268,0,0.8402,38.1451,0.8081,0.0084,0.0736,2.2195,0.0026,0,0.017,0.0021,0.0081,0.0055,0.0011,0.0155,0,0,0,0,0,0,0,altered limestone
0,1.4457,2.4927,0.4652,0,0,0.0783,64.2148,0.1953,0,0.0273,0.5379,0.0049,0,0,0,0.0043,0.0103,0,0.0054,0,0,0,0,0,0,0,altered limestone
2.1644,1.3082,3.0817,0.4876,0.001,0.0614,0.1062,55.7486,0.1569,0,0.0209,0.4057,0,0,0,0,0.0034,0.0126,0,0.0022,0,0,0,0,0,0,0,altered limestone
0,0,0,0.5025,0,0.0665,0,70.7689,0,0.0305,0.027,0.1506,0.006,0,0,0,0,0.0053,0,0.0045,0,0.0202,0,0,0,0,0,marble
1.6843,0,1.2787,0.4152,0.0635,0.038,0,48.6436,0.0211,0,0.012,0.1743,0.0029,0.0016,0,0,0,0.0135,0,0,0,0,0,0,0,0,0,marble
3.8487,0,0,0.4216,0,0.0636,0,58.4521,0.0272,0,0.0358,0.327,0.0048,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,marble
0,1.221679762,62.05192997,0.11146922,1.05013731,0,0,28.13181784,0,0,0.557346098,6.863414448,0,0,0,0.003909528,0,0.006388741,0,0.001907087,0,0,0,0,0,0,0,ore 
0,2.2826,66.5767,0.2271,3.5811,0,0.0392,12.6428,0.1128,0.0065,0.3137,11.5854,0,0.0079,0,0.0093,0,0.0041,0,0.0021,0,0,0,0,0.0106,0,0,ore 
0,1.753673424,54.45521843,0.394884831,10.92892895,0,0.070048277,9.249825701,0,0.007892764,0.268107315,22.6043818,0.004028598,0.239331614,0.003864166,0,0,0.0035353,0,0.001397677,0,0,0,0,0.009454873,0,0.005426275,ore 
0,2.853660234,1.346302923,0,47.35500962,0,0.128663561,0.810812475,0,0.003030721,0,47.35500962,0.046692039,0.030212496,0,0,0.006392926,0,0,0,0,0,0,0,0,0,0.064213393,ore 
0,11.96808639,41.75553772,0.44839377,1.065392846,0,0.02437551,30.26474887,1.460218301,0.007418633,0.264565812,12.53460022,0.004817294,0.159452447,0.017149568,0.003179414,0,0.003564798,0,0.009056514,0,0.007707671,0,0,0,0,0.001734226,ore 
2.642630959,0.768467514,58.68035065,0.196491633,0.263043749,0,0.223391719,25.99218501,0,0,0.688232655,10.50350632,0,0.002513157,0.001582358,0.004095515,0.003723195,0.002140837,0,0.000744639,0.001582358,0,0,0,0.025317728,0,0,intrusive rock
2.769683886,1.321237717,44.51116171,0.315268553,1.219294003,0,0.502247284,29.79931736,0,0.007766204,0.786844247,18.71822246,0,0.005505157,0,0.001572902,0.014451038,0.003440723,0,0.000983064,0.003342417,0,0,0,0.012386604,0.007274672,0,intrusive rock
4.132,0.7307,0.9731,0.4294,0,0.0496,0,60.398,0.034,0,0.4781,2.961,0.0066,0.0022,0,0,0,0.0131,0.0018,0.0043,0,0,0,0,0,0,0,altered limestone
3.1717,0.2052,0,0.5142,0,0.0385,0,67.1747,0.0351,0,0.4744,1.6445,0.0056,0,0,0,0,0.0106,0,0.0051,0,0,0,0,0,0,0,altered limestone
3.2815,0.7157,24.6048,0.2663,0.1687,0,0,42.1752,0.0896,0,0.3813,11.8481,0.0065,0.0037,0,0.0076,0,0.01,0.0019,0.003,0.0039,0,0,0,0.0174,0,0,intrusive rock
6.955,1.2201,27.0019,0.4696,0.0619,0,0.0517,46.7195,0.0867,0,0.3258,8.9176,0.0066,0,0.0065,0.0401,0,0.0063,0,0.002,0.0045,0,0,0,0.0159,0,0,intrusive rock
9.2505,0.6263,23.9419,0.502,0.0202,0,0,46.1978,0.1377,0,0.283,5.5397,0.0041,0,0,0.0117,0,0.0052,0.0019,0.0048,0,0,0.0366,0,0.0246,0,0,altered limestone
6.5301,0.6367,2.3326,0.4271,0,0.0331,0,63.7144,0.1136,0,0.1757,1.4425,0.0053,0,0,0,0,0.0112,0.0026,0.0073,0,0,0,0,0,0,0,altered limestone
31.52290033,2.146391986,52.68968111,0.080369335,0.023200959,0,0.040260488,7.384880405,0.144513163,0.004625028,0.100234208,5.844442877,0,0.001213122,0.002122964,0,0,0.005459049,0,0.001895503,0,0,0,0,0.007809473,0,0,altered limestone
6.9318,0.4795,5.5219,0.4227,0,0.0496,0.0574,63.559,0.1884,0,0.1678,2.0171,0.004,0,0,0,0.0032,0.0115,0,0.0063,0,0,0,0,0,0,0,altered limestone
30.68415915,3.294131428,48.45909961,0.104798719,0.033579321,0,0.052555543,10.67205498,0.374917028,0.008043419,0.140252235,6.157198079,0,0,0.00218656,0,0,0.006247316,0,0.002420835,0,0,0,0,0.008355785,0,0,altered limestone
23.8165,0,55.5242,0,0.0136,0,0,17.2508,0,0.0076,0.9674,2.096,0,0,0,0.0014,0,0.0045,0,0.0014,0,0,0,0,0,0,0,altered limestone
26.2652,0,60.8915,0.0541,0.0176,0,0.0095,3.3538,0.0167,0.0066,0.9238,2.31,0,0,0,0.0027,0,0.0058,0,0,0,0,0,0,0,0,0,altered limestone
5.7449,0.3688,11.2964,0.3639,0,0,0,58.8113,0.1967,0,0.3414,2.2948,0.0046,0,0,0,0.0049,0.0085,0,0.0063,0,0,0,0,0,0,0,altered limestone
4.8033,0,5.5698,0.444,0,0.0319,0,56.5393,0.1428,0,0.4042,1.6084,0.0035,0,0,0,0,0.0115,0,0.0034,0,0,0,0,0,0,0,altered limestone
7.5676,0.2135,0,0.4138,0,0.0382,0,64.2122,0.0644,0,0.2091,2.1737,0.0043,0.0021,0,0,0,0.0117,0,0.0048,0,0,0,0,0,0,0,altered limestone
11.001,0.9261,8.6153,0.4129,0,0,0,53.2555,0.38,0,0.2841,4.4179,0.0057,0.0038,0,0,0.0028,0.0126,0,0.0049,0,0,0,0,0,0,0,altered limestone
0,1.1006,40.5533,0.3936,0.1739,0,0,31.881,0,0,0.5752,24.1749,0.0063,0.0036,0,0.0033,0,0.001,0,0,0,0,0.046,0,0.0273,0.0097,0,intrusive rock
7.0091,2.8174,29.0288,0.0902,0.0604,0,0,16.6891,0,0,0.4127,11.086,0,0,0,0,0,0.0119,0,0,0,0,0.07,0,0,0,0,intrusive rock
0,3.459836753,42.162541,0.310187657,0.283488443,0,0.028701655,30.47229003,0.026699214,0,1.205469525,21.71418491,0.004767717,0,0,0,0.001525669,0.000476772,0,0,0,0.007056221,0.211686628,0,0.092875124,0.016305592,0.001907087,intrusive rock
0,2.4293,39.5661,0.1871,0.0496,0,0,30.2251,0,0,1.2608,18.4854,0.0044,0.0023,0,0.0026,0,0.0016,0,0,0,0.0071,0.3334,0,0.0963,0,0,intrusive rock
4.255942564,9.424784448,46.70805287,0.263524742,0.032536138,0,0.05015239,29.67763158,0.580347633,0.011144975,0.629331598,8.355675714,0,0,0.001887456,0,0,0.000359515,0.002157092,0.006471276,0,0,0,0,0,0,0,intrusive rock
4.759968838,9.503460998,46.29418033,0.276073894,0.028028261,0,0.051937353,29.53516069,0.584832502,0.00599966,0.617517215,8.331557315,0,0.001611849,0,0,0,0.000358189,0.001611849,0.005820565,0.00188049,0,0,0,0,0,0,intrusive rock
5.743620138,15.32925774,53.52487656,0.287649429,0.890193248,0,2.38962206,14.37702246,0.388790372,0.008699268,0.292716036,6.700539641,0.003823854,0.024090281,0,0,0.009559635,0.017111747,0.001625138,0.010802388,0,0,0,0,0,0,0,intrusive rock
4.427804643,13.40354186,55.45137879,0.266175188,0.309501584,0,3.087460021,14.12612668,0.628089277,0.008416607,0.483667957,7.649165226,0.007842747,0.007460174,0,0,0.010998975,0.082827062,0.001530292,0.012816197,0,0,0,0.035196719,0,0,0,intrusive rock
4.36838538,11.47382459,69.13401498,0.375636133,0.015735752,0,2.511478748,9.159702058,0.248519389,0.004659189,0.247024932,2.352187226,0,0,0,0,0.000263728,0.087645501,0,0.020922396,0,0,0,0,0,0,0,intrusive rock
3.839615491,11.34063727,62.87358568,0.417960996,0.073813347,0,2.316814057,14.74029878,0.254099142,0.006607333,0.266181122,3.48310269,0,0.013309056,0,0.001132686,0.007928799,0.288834835,0.001510248,0.036529111,0,0,0,0.038039359,0,0,0,intrusive rock
4.62580648,12.24080472,67.61212301,0.256243819,0.012459322,0,2.877929139,9.725764223,0.150731658,0.002962356,0.217733188,2.228824598,0,0,0,0,0,0.010891016,0,0.008974197,0,0,0,0.028752282,0,0,0,intrusive rock
2.515710364,14.89362099,66.34320931,0.373578792,0.380388093,0,2.428308784,8.778308737,0.48607218,0.005316852,0.063242552,3.546993041,0.002331953,0.00149245,0,0,0.004197515,0.12079514,0.002611787,0.015017774,0,0,0,0.03880369,0,0,0,intrusive rock
5.064497723,14.52216999,49.12251387,0.448783007,4.221807227,0,3.03106543,12.90182314,0.712527283,0.017374083,0.101870989,9.759582566,0.010158617,0.006076182,0.003512793,0,0.016234799,0.015570216,0.001803867,0.003607733,0,0,0,0.035697569,0,0,0.003322912,intrusive rock
5.0972,1.1146,0.4478,0.4654,0,0.1008,0.5188,60.9986,0.6216,0,0.1536,3.7947,0.0056,0,0,0,0.0071,0.0161,0.0021,0.0122,0,0,0,0,0,0,0,limestone
3.7661,0.7026,0.9709,0.3724,0.0449,0.0468,0.1666,51.0629,0.4013,0.009,0.1083,2.7164,0.0035,0.0023,0,0,0.0035,0.022,0,0.0046,0,0,0,0,0,0,0,limestone
2.422,0.235,0,0.7322,0,0,0,69.3189,0.0643,0,0.1475,2.9594,0.0084,0.0105,0,0,0.0031,0.0106,0.0019,0.0076,0,0,0,0,0,0,0.0019,altered limestone
4.4538,0.4359,0,0.588,0,0.0506,0.254,68.1049,0.1211,0,0.1584,0.8308,0.0058,0,0,0,0.0029,0.0101,0.0022,0.0082,0,0,0,0,0,0,0,altered limestone
6.0426,1.1304,2.1199,0.3834,0,0.0576,0.3235,54.2919,0.2488,0,0.1161,1.1805,0.0037,0.0062,0.0071,0,0.0057,0.0157,0.0011,0.0048,0,0,0,0,0,0,0,limestone
3.9914,0,0,0.4741,0,0.0506,0.1303,69.1002,0.0967,0,0.1276,0.442,0.006,0.0032,0,0,0.0035,0.009,0.0016,0.0057,0,0,0,0,0,0,0,limestone
3.9958,0.2325,0,0.4639,0,0,0,65.3571,0.2115,0,0.1209,0.8452,0.0046,0.0111,0,0,0,0.0133,0.0021,0.0088,0,0,0,0,0,0,0,limestone
0,0,0,0.529,0,0.0944,0,73.6002,0.0591,0,0.0456,0.4468,0.0049,0,0,0,0,0.003,0.0015,0.0043,0,0,0,0,0,0,0,limestone
0,0,0,0.5499,0,0.0568,0,73.1009,0.0233,0.0182,0.0427,0.2109,0.0067,0.0031,0,0,0,0.006,0,0.0052,0,0,0,0,0,0,0,limestone
0,0,55.22473677,0.232693316,0.049549764,0,0.035351851,31.92862928,0,0.006289009,9.807804088,2.703320787,0,0,0.002953928,0,0,0.000762304,0,0,0,0,0,0,0,0,0.007908905,altered limestone
2.0392,0.1988,17.5901,0.5194,0,0,0,56.1033,0.025,0.0142,5.4244,2.5192,0.0044,0.004,1.1964,0,0,0.0032,0,0.0015,0,0,0,0,0,0,0.01,altered limestone
0,0.694576508,65.92943755,0.268503174,0.046637145,0,0.045097666,19.51913934,0,0,0.219058745,13.22439259,0,0.002354497,0,0.013402519,0,0,0,0.000724461,0.001086691,0,0.006791817,0,0.028797305,0,0,intrusive rock
0,0,62.2655,0.3082,0.0216,0,0,17.3448,0,0,0.1684,11.8694,0,0.0018,0,0.0079,0,0,0,0,0,0,0.032,0,0.0504,0,0,intrusive rock
0,1.084703667,33.8401697,0.250211587,6.013920509,0,0.039548006,25.41333497,0,0,0.709143363,32.38845665,0.010494311,0.12049024,0,0,0,0,0,0,0,0.00641319,0.057913051,0,0.042365923,0.008745259,0.014089584,ore 
0,0,20.8275,0.1822,1.6254,0,0,18.6616,0,0,0.2589,15.1979,0,0.0531,0.0099,0.0059,0,0.001,0,0,0,0,0.081,0,0.0276,0,0.0034,ore 
2.1747,0,22.0053,0.2669,2.6184,0,0,20.6597,0,0,0.3012,17.1725,0.0053,0.2213,0,0.003,0,0,0,0,0,0.0091,0.093,0,0.0362,0,0.007,ore 
